No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00088,9789833656059,Pahlawan Johor,Zul Fadzli Mat Rawi,Pustaka Cahaya Intelek,2006,68,10.33,English,NF,906,ZUL,1,,
00089,9789675106583,365 hari dalam sejarah Malaysia Jilid 2,Mahadzir Syed Ibrahim Syed,Pekan Ilmu Publications,2010,760,Dihadiahkan,Malay,NF,900,SYE,1,,
00090,9789675106576,365 hari dalam sejarah Malaysia Jilid 1,Mahadzir Syed Ibrahim Syed,Pekan Ilmu Publications,2010,857,Dihadiahkan,Malay,NF,900,SYE,1,,
00091,9789830687056,Impresionisme,Jane Bingham,ITBM,2011,46,20.00,Malay,NF,909,JAN,2,,
00092,9781854346988,Great Civilisations,Robert Nicholson,Two-Can Publishing Ltd,2000,128,Dihadiahkan,English,NF,909,GRE,1,,
00093,9789834074418,Children's Illustrated Library of Knowledge:History,Johore Central Store,Johore Central Store,2002,64,Dihadiahkan,English,NF,909,HIS,1,,
00094,9789670408194,Gergasi Asia : Jepun,Knowledge Publication House,Knowledge Publication House,2012,46,91.80,Malay,NF,900,SIR,1,,
00095,9789670408200,Panglima Timur Tengah : Arab Saudi,Knowledge Publication House,Knowledge Publication House,2012,46,91.80,Malay,NF,900,SIR,1,,
00096,9789670408224,Legasi Kuasa Terulung : Amerika Syarikat,Knowledge Publication House ,Knowledge Publication House ,2012,46,91.80,Malay,NF,900,SIR,1,,
00097,9789670408217,Empayar teragung Eropah : Jerman,Knowledge Publication House,Knowledge Publication House,2012,46,91.80,Malay,NF,900,SIR,1,,
00098,9789813050563,The Silk and Spice Routes Exploration by land,Paul Strathern,System Publishing House,1996,47,29.40,English,NF,901,STR,1,,
00099,9789813050594,The Silk and Spice Routes Cultures and civilizations,Struan Reid,System Publishing House,1996,45,29.40,English,NF,901,REI,1,,
00100,9789813050570,The Silk And Spice Routes: Exploration By Sea,Struan Reid,System Publishing House,1996,45,29.40,English,NF,901,REI,1,,
00101,9789675416170,Hal Ehwal Dunia,Sulaiman Zakaria,Sinar Cemerlang,2011,44,13.60,Malay,NF,910,SUL,1,,
